Date,NFLX,AAPL,MSFT,GOOG
8/17/2020,482.350006,112.281311,203.37706,75.899002
8/18/2020,491.869995,113.216934,204.547363,77.93
8/19/2020,484.529999,113.358963,203.306381,77.376503
8/20/2020,497.899994,115.874374,208.037582,79.087502
8/21/2020,492.309998,121.845665,206.525146,79.021004
8/24/2020,488.809998,123.302956,207.174728,79.410004
8/25/2020,490.579987,122.29142,209.86998,80.411003
8/26/2020,547.530029,123.954475,214.407257,82.619003
8/27/2020,526.27002,122.472664,219.671677,81.716499
8/28/2020,523.890015,122.274269,221.930664,82.220497
8/31/2020,529.559998,126.420853,218.653717,81.709
9/1/2020,556.549988,131.456543,220.340698,83.0355
9/2/2020,552.840027,128.732956,224.587112,86.414001
9/3/2020,525.75,118.426491,210.674652,82.092003
9/4/2020,516.049988,118.50486,207.717651,79.552002
9/8/2020,507.019989,110.53009,196.481018,76.619499
9/9/2020,500.190002,114.938751,204.847885,77.848
9/10/2020,480.670013,111.186478,199.108398,76.600998
9/11/2020,482.029999,109.726738,197.80925,76.036003
9/14/2020,476.26001,113.018562,199.147156,75.963997
9/15/2020,495.98999,113.194885,202.414444,77.071999
9/16/2020,483.859985,109.854103,198.798157,76.044998
9/17/2020,470.200012,108.10041,196.723404,74.776497
9/18/2020,469.959991,104.671455,194.280228,72.999496
9/21/2020,487.350006,107.845718,196.364655,71.557999
9/22/2020,491.170013,109.540596,201.095886,73.273003
9/23/2020,470.609985,104.945786,194.474106,70.760498
9/24/2020,473.079987,106.02346,196.994827,71.414497
9/25/2020,482.880005,110.00106,201.483688,72.248001
9/28/2020,490.649994,112.626663,203.054291,73.225998
9/29/2020,493.480011,111.774315,200.94075,73.466499
9/30/2020,500.029999,113.459404,203.917145,73.480003
10/1/2020,527.51001,114.419518,205.982224,74.504501
10/2/2020,503.059998,110.726028,199.903397,72.920998
10/5/2020,520.650024,114.135399,203.965652,74.301003
10/6/2020,505.869995,110.863197,199.631927,72.671997
10/7/2020,534.659973,112.744232,203.432404,73.014503
10/8/2020,531.789978,112.636452,204.159561,74.296501
